id,name,latitude,longitude,active,explosive,startyear,startmonth
1,Planchon-Peteroa,-35.223,-70.568,TRUE,1,2018,12
2,Merapi,-7.54,110.446,TRUE,3,2018,5
3,Karangetang,2.781,125.407,FALSE,1,2018,2
4,Karangetang,2.781,125.407,TRUE,2,2018,11
5,Rincon de la Vieja,10.83,-85.324,TRUE,1,2018,7
6,Copahue,-37.856,-71.183,FALSE,2,2018,12
7,Mayon,13.257,123.685,TRUE,2,2018,1
8,Kuchinoerabujima,30.443,130.217,TRUE,3,2018,10
9,Telica,12.606,-86.84,FALSE,1,2018,6
10,Kirishimayama,31.934,130.862,FALSE,3,2018,3
11,Kusatsu-Shiranesan,36.618,138.528,FALSE,1,2018,1
12,San Cristobal,12.702,-87.004,FALSE,1,2018,4
13,"Fournaise, Piton de la",-21.244,55.708,FALSE,0,2018,4
14,Nishinoshima,27.247,140.874,FALSE,1,2018,7
15,Ketoi,47.35,152.475,FALSE,1,2018,9
16,Sarychev Peak,48.092,153.2,FALSE,2,2018,9
17,Alaid,50.861,155.565,FALSE,1,2018,8
18,San Miguel,13.434,-88.269,FALSE,1,2018,1
19,Karymsky,54.049,159.443,FALSE,3,2018,4
20,Semisopochnoi,51.93,179.58,FALSE,1,2018,9
21,Great Sitkin,52.076,-176.13,FALSE,1,2018,6
22,Soputan,1.112,124.737,FALSE,3,2018,10
23,Gamalama,0.8,127.33,FALSE,1,2018,10
24,Dieng Volcanic Complex,-7.2,109.879,FALSE,1,2018,4
25,Marapi,-0.38,100.474,FALSE,2,2018,4
26,Kadovar,-3.608,144.588,TRUE,2,2018,1
27,Ulawun,-5.05,151.33,FALSE,1,2018,6
28,Ulawun,-5.05,151.33,FALSE,2,2018,9
29,"Negra, Sierra",-0.83,-91.17,FALSE,2,2018,6
30,Barren Island,12.278,93.858,TRUE,1,2018,9
31,Fernandina,-0.37,-91.55,FALSE,1,2018,6
32,Sangay,-2.005,-78.341,FALSE,2,2018,8
33,Sangay,-2.005,-78.341,FALSE,1,2018,2
34,Veniaminof,56.17,-159.38,FALSE,1,2018,9
35,Kerinci,-1.697,101.264,FALSE,1,2018,4
36,Krakatau,-6.102,105.423,TRUE,3,2018,6
37,Kerinci,-1.697,101.264,FALSE,1,2017,8
38,Sangeang Api,-8.2,119.07,TRUE,2,2017,7
39,Ulawun,-5.05,151.33,FALSE,1,2017,6
40,Dieng Volcanic Complex,-7.2,109.879,FALSE,1,2017,4
41,Karymsky,54.049,159.443,FALSE,3,2017,6
42,Kambalny,51.306,156.875,FALSE,3,2017,3
43,Tinakula,-10.386,165.804,FALSE,3,2017,10
44,Ambae,-15.389,167.835,TRUE,3,2017,9
45,Krakatau,-6.102,105.423,FALSE,1,2017,2
46,Barren Island,12.278,93.858,FALSE,2,2017,1
47,Nishinoshima,27.247,140.874,FALSE,2,2017,4
48,"Fournaise, Piton de la",-21.244,55.708,FALSE,0,2017,7
49,"Lengai, Ol Doinyo",-2.764,35.914,TRUE,0,2017,4
50,Dempo,-4.016,103.121,FALSE,1,2017,11
51,"Fournaise, Piton de la",-21.244,55.708,FALSE,0,2017,1
52,Marapi,-0.38,100.474,FALSE,1,2017,6
53,Agung,-8.343,115.508,TRUE,3,2017,11
54,Kanlaon,10.412,123.132,FALSE,2,2017,12
55,Bulusan,12.769,124.056,FALSE,1,2017,6
56,Kirishimayama,31.934,130.862,FALSE,2,2017,10
57,Aira,31.593,130.657,TRUE,1,2017,3
58,Kick 'em Jenny,12.3,-61.64,FALSE,0,2017,3
59,Unnamed,-20.852,-175.55,FALSE,0,2017,1
60,Rincon de la Vieja,10.83,-85.324,FALSE,2,2017,5
61,Sangay,-2.005,-78.341,FALSE,2,2017,7
62,San Miguel,13.434,-88.269,FALSE,1,2017,1
63,Copahue,-37.856,-71.183,FALSE,1,2017,6
64,San Cristobal,12.702,-87.004,FALSE,1,2017,2
65,San Cristobal,12.702,-87.004,FALSE,3,2017,8
66,Poas,10.2,-84.233,FALSE,1,2017,4
67,Fernandina,-0.37,-91.55,FALSE,2,2017,9
68,Bristol Island,-59.017,-26.533,FALSE,1,2016,4
69,Gamalama,0.8,127.33,FALSE,1,2016,8
